,Tot Dom Deposits to Tot Assets,Pretax ROA,Return On Assets,Net Op Inc to Assets,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Net Interest Margin,RE to Ave Equity,Efficiency Ratio,Net Loans Lease to Tot Assets,Return on Equity
0,83.78064741,1.358184737,1.029656276,1.029656276,0.529423043,2.628800041,3.871094393,7.2697633810000015,63.30965909,72.98345112,7.2697633810000015
1,78.51754674,0.421803704,0.421803704,0.421803704,0.179365126,2.984162651,3.5985666380000003,4.134866197,84.67561521,85.2887683,4.134866197
3,89.98200787,2.5393233630000003,2.5393233630000003,2.522156851,0.8636076340000001,2.259377158,4.408391527,13.49439165,46.48193426,56.60013462,26.00171857
5,87.74650381,0.532794707,0.418283606,0.418283606,0.182899676,2.95979388,3.608041367,4.192960689,84.07499435,66.41844181,4.192960689
6,88.99659782,1.7795532019999998,1.363659023,1.363659023,0.915341311,3.478047568,4.945967165,1.950040324,63.71507735,68.99400396,13.00225057
7,78.46174868,0.344264742,0.270732467,0.270732467,0.173803559,2.543548236,2.810985623,3.180418048,88.0787037,43.42152459,3.180418048
8,90.68975133,1.268731099,0.923171464,0.923171464,0.328432773,2.648954715,3.793759499,10.33788993,67.49957214,76.8760252,10.33788993
9,91.89476919,1.223519875,0.924214983,0.924214983,0.597128077,2.491861398,3.433935075,12.76192965,63.34871457,71.98604634,12.76192965
10,85.46458576,0.462841538,0.456670318,0.456670318,0.114167579,2.709165805,3.363659689,4.866820125,84.91295938,71.85425254,4.866820125
11,77.885584,1.17627812,0.887152058,0.885463263,0.697607924,3.188046834,3.987460281,5.58442944,70.54577535,73.29037539,7.590190669
12,76.96802713,1.222427644,1.204596447,1.204596447,0.158499532,2.032756504,3.2263834360000003,0.108949745,62.44674376,83.87126075,8.280180611
14,89.31116120000002,0.551603759,1.902565507,1.867505946,1.0354257,4.382445117,4.021292099,25.94972321,90.53597296,73.19747618,25.94972321
15,70.50342573,1.927873993,1.349986934,1.349986934,2.69641033,14.33819162,18.64150963,5.969652602999999,76.09973679,72.77387759,5.969652602999999
16,85.93461733,0.382540996,0.382540996,0.382540996,2.212760575,4.745899235,3.337130068,1.73052668,91.13865932,73.01260884,4.042106114
17,78.10339008,1.993273377,1.691602116,1.673344066,1.884352373,4.148692681,4.631543045,12.98200712,65.67670768,82.74405018,13.72053223
18,80.87203187,1.802739079,1.411643829,1.4206019769999998,1.625745389,3.018391566,3.809256023,5.898234917000001,58.96806528,75.11183153,12.07911937
19,83.3010777,1.263637287,0.997076654,0.997076654,0.476389703,2.925949806,4.157233824,9.952203123,68.25598259999998,73.2946786,10.8854873
21,87.62726314,1.281294193,1.120258279,1.090514227,0.493403161,1.982159785,2.8814508310000004,8.622042097000001,60.90485854,48.89494323,12.56591276
22,87.40030949,0.793348959,0.623635619,0.623635619,0.353231113,2.540015908,3.325068122,7.448356125,73.94799054,79.98135143,7.448356125
23,87.77304007,1.031033005,1.028312602,1.028312602,0.956221903,2.95707883,3.4364545210000004,1.794109566,64.97378768,47.34761075,8.530483219
24,87.88786040000002,1.099123399,0.7795010109999999,0.7795010109999999,0.25084288600000004,2.172623061,3.393257932,6.483293647999999,63.35867855,76.23722142,6.483293647999999
25,82.86747644,1.90177762,1.42485515,1.42485515,0.365574869,2.624058965,4.410962008,8.092906114,55.88740868,72.71288791,8.092906114
26,83.40116082,0.470286973,0.356089253,0.356089253,0.233586245,2.138611843,2.535369279,2.348993289,83.63784003,51.36638857,2.348993289
27,82.28745450000002,1.043967205,0.812098953,0.812098953,0.552227288,2.784659305,3.58930938,2.625540205,72.73259216,78.98913647,8.460073994
28,85.78991615,0.84536721,0.62899346,0.62899346,1.020856385,3.260073102,3.372804545,4.584001834,77.00193136,85.6542814,4.584001834
29,71.4075292,0.695714078,0.527448347,0.527448347,2.064491077,4.614364069,3.681296609,2.074494724,86.89823278,66.64953927,2.074494724
30,73.45980683,0.583190665,0.580610175,0.580610175,0.327722188,2.970143606,3.504458442,4.855065506,83.04473304,58.52669925,4.855065506
31,85.59139958,1.285778808,0.96464771,0.96464771,0.382597596,2.412664624,3.580393398,7.249142742,64.43571028,75.75448474,11.0973937
32,85.54496774,0.5756019520000001,0.518299297,0.519458227,0.232429871,2.852899609,3.517228942,4.9783549780000005,79.84167894,76.86543825,4.9783549780000005
33,75.51350104,2.095979387,1.559072169,1.559072169,4.875773208,5.556185581,3.7161752,9.651064065,66.20442275,72.50611586,9.651064065
34,78.4929175,1.6281222640000002,1.6281222640000002,1.652206913,0.521834059,2.249506204,4.41914109,8.555135884,48.54166667,77.24356259,19.94231675
35,85.09411383,1.304428718,1.04393062,1.04393062,0.6907851340000001,3.198466969,4.325499707,7.361092922,67.05426357,83.69873407,8.308224325
36,73.73762176,1.4256953369999998,1.162846726,1.162846726,0.8851238440000001,2.601880024,3.683635401,6.317406293,60.50070247,69.33738343,8.19805561
37,88.31815611,0.6866658179999999,0.548653907,0.548653907,0.441751239,2.832072282,3.751947194,5.790699063,70.99411849,74.31730204,5.790699063
38,83.46769865,1.591324372,1.277189557,1.279091888,0.642662261,2.469775475,3.813921604,9.841097517,59.06531872,76.63632251,13.98334728
39,81.75160453,1.574406651,1.325576474,1.325576474,0.826309037,3.406482441,4.694857442,10.68614849,64.73582409,89.36110409999998,11.88710921
40,81.02835813,0.500399602,0.403824716,0.376944085,0.371384503,2.8543658360000004,3.294972787,4.03316881,83.88620387,83.63907768,4.03316881
41,64.33781166,0.75537029,0.729826368,0.890290858,0.145965274,1.392751985,2.576407143,-1.675977654,54.47193149,58.56971242,8.379888268
43,86.04228654,0.665278579,0.591024258,0.591024258,0.63091087,3.037653965,3.3528705660000004,6.964871139,80.1867426,60.78212471,7.8363115589999985
44,68.44756603,-1.57350104,-1.57350104,-1.57350104,0.545499451,6.2095304910000015,4.456864594,-16.13704299,127.2754626,81.39007277,-16.13704299
45,89.00360127,1.895681278,1.895681278,1.890056111,0.510483905,1.836617025,3.95826883,10.88206797,42.61011419,67.04159,18.38224014
47,87.37596472,0.475702022,0.475702022,0.475702022,0.7651151409999999,4.537465443,4.608139447,2.305347213,90.51094891,57.18151749,3.789248868
48,80.68996014,2.277904849,2.0545552330000003,2.061608379,0.069878388,2.430723007,5.008454308,19.19463087,49.70165446,81.40356836,19.19463087
49,86.16973975,1.624714208,1.259500673,1.259500673,0.506855287,2.095464735,3.4573693210000003,8.115089648,56.32698768,67.43875835,10.41073028
50,78.59701237,1.23700156,0.971254982,0.971254982,1.305876247,4.340629027,4.470307687,9.750153465,77.82209595,89.79590329999998,9.750153465
51,72.17319215,0.999098202,0.746934344,0.746934344,0.112481255,2.35990083,3.465595178,6.954219537999999,70.25607354,78.28137079,6.954219537999999
53,88.63061479999998,1.442752323,1.335844071,1.335844071,0.752939551,2.977309988,3.93343126,13.673352599999998,65.40268072,70.93223948,13.673352599999998
55,90.69888734,2.004308609,2.004308609,2.004308609,0.190613839,1.717978808,3.772772131,8.838604651,45.24886878,52.11978847,22.02907568
56,84.12549327,1.35091981,0.935561376,0.935561376,0.162458742,2.062053646,3.449644171,4.818509403999999,58.97116582,70.52023218,6.13684303
57,86.47497725,1.6945083369999998,1.316223601,1.316223601,0.619765129,2.772360735,4.575568007,6.4084447010000005,60.38374718,74.11204992,10.66674282
58,86.62533904,1.728472578,1.354699499,1.354699499,0.478915749,2.237168621,4.01134859,7.837446242,52.76662844,71.94894752,11.41808345
59,82.81248347,1.74755269,1.369452486,1.3644877519999998,4.697691019,6.077742692,4.001264118,5.1541645460000005,70.18783039,79.17144706,12.40738704
60,83.72350945,0.456706059,0.456706059,0.456706059,0.669191658,3.0368883280000003,3.085588605,2.632472641,86.92733017,52.04775649,4.814079802
61,83.34845604,1.57130335,1.57130335,1.57130335,0.651871978,3.038015301,4.575154395,1.413684044,58.30872219,80.63409172,14.97114578
62,78.22460822,1.31244153,1.092852289,1.092852289,0.236729593,2.624401203,4.174137936,10.03868745,64.53124466,78.71693181,10.03868745
63,83.34701386,1.32194763,1.32194763,1.32194763,0.46390068,2.959483169,4.207465317,-4.6483796360000005,65.99214739,82.00450178,12.0820733
64,83.12925536,1.350513854,1.350513854,1.353184174,0.596148726,2.628929095,3.668154528,5.697647865,66.01844091,56.9586103,11.54944051
65,88.97587183,1.309196145,1.309196145,1.309196145,0.5714171020000001,2.777521102,3.822401268,-1.5150889930000002,66.20689655,73.79980717,13.37712721
66,87.59942005,1.585910241,1.113206673,1.113206673,0.382664794,2.776877674,4.44553905,5.186863826000001,60.77026422,80.86992543,9.597462318
67,88.29730090000002,1.203254219,1.203254219,1.203254219,1.370268271,3.137228535,3.3160249960000003,8.399381582,70.74413245,55.13574932,13.44021216
68,84.01255586,1.235400043,0.952575424,0.952575424,0.7194984590000001,2.943402786,4.10122255,2.008601886,67.7480916,82.77958076,6.72134094
69,92.28122632,0.588100033,0.588100033,0.588100033,0.19789148,3.366942368,3.931433238,7.610459874,85.1303735,67.07967260000001,7.610459874
70,83.54183122,0.7174894470000001,0.5841053,0.5841053,0.257240854,2.612716932,3.447274425,7.183739691,76.43653516,75.13680450000003,7.183739691
71,89.66581109,1.3066907559999998,1.3066907559999998,1.3066907559999998,1.119478528,3.544382865,4.145043648,6.736240267,73.06388527,81.45798795,13.25435466
72,87.95791209,-0.8997444170000001,-0.659195781,-0.659195781,24.85052447,29.13876649,3.846654047,-5.818303566,104.3312629,68.80742842,-5.818303566
73,87.31973164,0.188783135,0.188783135,0.188783135,0.310705577,3.716667978,4.117117117,1.493775159,95.16616314,47.43738564,1.493775159
75,82.30694552,0.502686155,0.352595028,0.352595028,0.209101313,2.9756161480000003,3.5526997610000004,3.196392988,81.74263409999998,86.37581933,3.424198279
76,82.87981381,1.498663887,1.310879496,1.310879496,1.213376063,4.033753161,5.137226558,15.73756846,67.16012085,89.72687641,15.73756846
