cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2018","8/15/2018","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","48","343830","26199","22763","35457","383","250939","1824","0","5248","649","2313","22642","343830","293711","288063","205200","288063","78.7791393796787","0","0","0","0","5648","50119","50119","0","13242","33764","3113","0","5335","0","690","309542","98947","349437","346860.5","247420","340697","14091","4244","0","9847","17400","5164","0","0","33579","45082","2082","33579","0"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2018","8/15/2018","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","18","100617","5372","4321","3197","0","85815","789","0","2024","3220","0","989","100617","90171","79002","62773","79002","82.7422659550249","0","0","11000","0","169","10446","10446","0","534","16797","-6885","0","27","0","209","93333","6923","101469","101429.5","86558","100970","0","0","0","0","11727","1836","11000","0","12494","10482","789","12494","0"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2018","8/15/2018","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","9","49045","23525","20429","0","0","23816","899","0","946","0","0","758","49044","42387","42255","30940","42255","88.9017669181825","0","0","0","0","132","6657","6657","0","657","4443","1557","0","0","0","487","44245","92","50383.67","50062.5","26678","49961","0","0","0","0","551","0","0","0","2543","6657","340","2543","0"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2018","8/15/2018","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","42","154512","8608","2035","44866","7155","87454","1143","0","5052","0","0","1377","154512","139371","139033","87477","139033","80.9034169351127","0","0","0","0","338","15141","15141","0","500","752","13889","0","77","0","906","141510","40465","151457.67","153360.5","79885","153019","0","0","0","0","2562","469","0","0","2325","15601","1000","2325","0"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","6/30/2018","8/15/2018","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","15","40766","11502","9909","9609","0","18662","193","0","416","51","0","526","40766","37350","36472","29087","36472","90.93176212661","814","0","0","0","64","3416","3416","0","300","300","2816","0","339","0","186","38180","7620","40671.33","40846.5","17934","40325","0","0","0","0","2901","92","0","0","1407","3509","193","1407","0"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2018","8/15/2018","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","40","254205","43602","39513","22918","3000","168839","999","0","5158","619","0","10069","254205","228839","223056","180613","223056","71.7387990782832","0","0","0","0","5783","25366","25366","0","100","0","25266","0","1641","0","630","234270","127199","251504","253675.5","137903","248060","6073","4698","0","1375","12867","7870","0","0","17665","25403","999","17665","0"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2018","8/15/2018","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","67","331552","52503","40752","18201","12535","228751","2308","0","5757","66","3065","10674","331552","297510","295070","169702","295070","74.2742793626265","0","0","0","0","2440","34042","34042","0","5165","13820","15057","0","2033","0","927","300239","137533","320754.67","324831.5","262974","323434","7349","4339","0","3010","10177","6330","0","0","58111","31838","2323","58111","0"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2018","8/15/2018","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","15","58547","16865","15927","15243","0","25422","248","0","655","0","0","362","58547","53412","45937","36568","45937","80.5876591576885","7243","0","0","0","232","5135","5135","0","500","1337","3298","0","212","0","171","56592","8871","59837.67","60848","22346","58796","0","0","0","0","9514","62","0","0","3163","5135","248","3163","0"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","6/30/2018","8/15/2018","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","87","609640","51198","39318","71102","0","468667","6423","0","2239","0","83","16351","609640","554974","552881","305634","552881","50.5225176342919","0","0","0","0","2093","54666","54666","0","48166","2356","4144","0","198","0","1703","579087","174178","595555.67","603217.5","433475","590964","7759","0","0","7759","4651","11514","0","1000","73149","55234","5433","73149","0"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","6/30/2018","8/15/2018","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","62","553260","29612","29019","109775","296","398270","5247","0","885","238","0","14184","553260","513076","508417","444398","508417","49.0354816889001","3167","0","0","0","1492","40184","40184","0","1025","16200","22959","0","2235","0","1794","537360","190227","539917.67","539887","355983","539678","8554","7275","0","1279","61305","940","0","6554","63334","40700","4460","63334","0"
