cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","6/30/2018","8/15/2018","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","6551","436","6115","74","925","0","374","","551","4593","2054","569","1970","2373","0","574","1799","0","1799","0","1799","96","0","0","1799"
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","6/30/2018","8/15/2018","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","2164","467","1697","60","91","0","22","0","69","1514","897","124","493","214","0","0","214","0","214","0","214","-20","0","0","214"
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","6/30/2018","8/15/2018","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","925","53","872","0","76","0","36","","40","513","322","57","134","435","0","0","435","0","435","0","435","-344","173","0","435"
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","6/30/2018","8/15/2018","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","3269","242","3027","60","654","0","308","","346","1711","893","337","481","1910","13","0","1923","0","1923","0","1923","16","925","0","1910"
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","6/30/2018","8/15/2018","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","772","82","690","30","128","0","87","","41","640","340","61","239","148","0","0","148","0","148","0","148","21","56","0","148"
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","6/30/2018","8/15/2018","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","4431","234","4197","35","230","0","102","","128","3722","1978","305","1439","670","0","144","526","0","526","0","526","0","0","0","526"
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","6/30/2018","8/15/2018","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","7349","155","7194","230","1468","0","502","","966","5578","3137","633","1808","2854","0","667","2187","0","2187","0","2187","59","1859","0","2187"
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","6/30/2018","8/15/2018","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","878","66","812","0","52","0","49","","3","761","377","115","269","103","0","22","81","0","81","0","81","1","0","0","81"
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","6/30/2018","8/15/2018","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","11038","330","10708","20","978","0","143","","835","7888","5064","827","1997","3778","0","1029","2749","0","2749","0","2749","-25","0","415","2749"
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","6/30/2018","8/15/2018","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","10789","1782","9007","589","1612","0","63","","1549","6727","3790","469","2468","3303","0","808","2495","0","2495","0","2495","200","0","0","2495"
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","6/30/2018","8/15/2018","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","1166","169","997","6","37","0","31","","6","878","534","122","222","150","0","2","148","0","148","0","148","0","0","0","148"
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","6/30/2018","8/15/2018","NM","2650 Route 130","1ST CONSTITUTION BANCORP","20","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","23936","2915","21021","450","3916","0","427","0","3489","17896","9757","2242","5897","6591","12","1623","4980","0","4980","0","4980","-35","1316","506","4970.52"
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","6/30/2018","8/15/2018","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","1955","392","1563","0","80","0","34","","46","1026","564","89","373","617","0","9","608","0","608","0","608","-1","600","0","608"
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","6/30/2018","8/15/2018","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","783","220","563","0","73","0","1","","72","523","240","106","177","113","0","0","113","0","113","0","113","0","440","0","113"
"31410","6903","535575","0","1st Federal Savings Bank of SC, Inc.","Walterboro","SC","29488","6/30/2018","8/15/2018","SB","300 Robertson Boulevard","","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","1715","87","1628","-25","443","0","223","","220","1875","1040","162","673","221","15","-578","814","0","814","0","814","-86","0","0","799"
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","6/30/2018","8/15/2018","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","61641","7274","54367","8672","9080","0","16","0","9064","48283","17951","5428","24904","6492","0","1946","4546","0","4546","0","4546","12350","0","0","4546"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","6/30/2018","8/15/2018","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","3043","538","2505","66","1851","0","313","0","1538","3970","2396","512","1062","320","0","0","320","0","320","0","320","3","183","32","320"
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","6/30/2018","8/15/2018","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","13","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","1/23/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","26319","3234","23085","800","9913","0","469","0","9444","21825","14719","1995","5111","10373","113","1587","8899","0","8899","0","8899","-15","479","0","8802.95"
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","6/30/2018","8/15/2018","SM","100 North Michigan Street","1ST SOURCE CORPORATION","82","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","6/7/2008","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","123103","16936","106167","8603","49463","10988","4564","0","33911","91834","46099","8601","37134","55193","-345","11899","42949","0","42949","0","42949","479","21977","0","43221.55"
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","6/30/2018","8/15/2018","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststatebk.com","5290","387","4903","125","613","0","89","","524","3765","2239","368","1158","1626","0","343","1283","0","1283","0","1283","569","110","56","1283"
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","6/30/2018","8/15/2018","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.1ststatebankmc.com","439","46","393","0","49","0","35","","14","271","118","30","123","171","3","0","174","0","174","0","174","0","187","0","171"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","6/30/2018","8/15/2018","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","18702","4488","14214","130","2540","375","940","0","1225","10204","6003","1491","2710","6420","176","829","5767","0","5767","0","5767","41","1810","0","5613.88"
