,Tot Dom Deposits to Tot Assets,Return On Assets,Net Op Inc to Assets,Pretax ROA,Assets per Emp,NonInterest Inc to Ave Asset,NonInterest Exp to Ave Asset,Yield on Earning Assets,Net Loans Lease to Tot Assets,RE to Ave Equity,Net Interest Margin,Efficiency Ratio,Core Capital Ratio,Equity to Assets,Noncurr Assets Other RE,Cost of Funding Earnings Assets,Noncurrent Loans to Loans,Number Employees,Return on Equity
0,83.78064741,1.029656276,1.029656276,1.358184737,7.163125,0.529423043,2.628800041,4.1471037389999985,72.98345112,7.2697633810000015,3.871094393,63.30965909,13.23228558,14.57668034,1.7403949630000002,0.276009347,2.110672844,48.0,7.2697633810000015
1,78.51754674,0.421803704,0.421803704,0.421803704,5.589833333,0.179365126,2.984162651,4.588861641,85.2887683,4.134866197,3.5985666380000003,84.67561521,10.38130138,10.38194341,3.227088862,0.990295003,0.031176389,18.0,4.134866197
5,87.74650381,0.418283606,0.418283606,0.532794707,6.355125,0.182899676,2.95979388,3.809204503,66.41844181,4.192960689,3.608041367,84.07499435,10.24066758,9.978560611,0.889046242,0.201163136,0.966214864,40.0,4.192960689
6,88.99659782,1.363659023,1.363659023,1.7795532019999998,4.948537313,0.915341311,3.478047568,5.052531651000001,68.99400396,1.950040324,4.945967165,63.71507735,9.843739372,10.26746936,0.633083197,0.106564486,0.879861853,67.0,13.00225057
7,78.46174868,0.270732467,0.270732467,0.344264742,3.903133333,0.173803559,2.543548236,3.03946475,43.42152459,3.180418048,2.810985623,88.0787037,8.733587319,8.770731207,0.362102243,0.228479127,0.8258667709999999,15.0,3.180418048
8,90.68975133,0.923171464,0.923171464,1.268731099,7.007356322000001,0.328432773,2.648954715,3.910675883,76.8760252,10.33788993,3.793759499,67.49957214,9.346423809,8.966931304,0.032478184,0.116916384,0.041676314,87.0,10.33788993
9,91.89476919,0.924214983,0.924214983,1.223519875,8.923548387,0.597128077,2.491861398,4.113325805,71.98604634,12.76192965,3.433935075,63.34871457,7.541534026,7.263131258,0.44698695,0.67939073,0.55388001,62.0,12.76192965
10,85.46458576,0.456670318,0.456670318,0.462841538,3.738941176,0.114167579,2.709165805,3.933828683,71.85425254,4.866820125,3.363659689,84.91295938,10.24473534,9.54501117,0.844844404,0.570168994,1.164126688,17.0,4.866820125
11,77.885584,0.887152058,0.885463263,1.17627812,6.434314136,0.697607924,3.188046834,4.540404799,73.29037539,5.58442944,3.987460281,70.54577535,11.25224939,11.26706126,0.8374601490000001,0.552944518,0.980309128,191.0,7.590190669
16,85.93461733,0.382540996,0.382540996,0.382540996,2.502911765,2.212760575,4.745899235,4.053847025,73.01260884,1.73052668,3.337130068,91.13865932,8.831082107,9.328546751000001,1.168638879,0.716716957,1.2774814,68.0,4.042106114
17,78.10339008,1.691602116,1.673344066,1.993273377,3.368196429,1.884352373,4.148692681,5.280380394,82.74405018,12.98200712,4.631543045,65.67670768,12.23078527,11.77947785,0.05540269,0.648837349,0.06613945,336.0,13.72053223
18,80.87203187,1.411643829,1.4206019769999998,1.802739079,5.36274618,1.625745389,3.018391566,4.41691716,75.11183153,5.898234917000001,3.809256023,58.96806528,10.66253443,11.37708029,0.582430985,0.607661138,0.7561996990000001,1178.0,12.07911937
19,83.3010777,0.997076654,0.997076654,1.263637287,4.1336451610000005,0.476389703,2.925949806,4.485369555,73.2946786,9.952203123,4.157233824,68.25598259999998,9.534042644,9.540123143999999,1.234168078,0.32813573100000004,1.473632228,62.0,10.8854873
21,87.62726314,1.120258279,1.090514227,1.281294193,5.792320225,0.493403161,1.982159785,3.791254639,48.89494323,8.622042097000001,2.8814508310000004,60.90485854,9.476279752,8.887591377,0.301251269,0.909803808,0.518042263,178.0,12.56591276
22,87.40030949,0.623635619,0.623635619,0.793348959,5.143469388,0.353231113,2.540015908,4.218762321,79.98135143,7.448356125,3.325068122,73.94799054,8.541870884,8.339086617000001,1.6426615880000002,0.893694199,1.802351021,49.0,7.448356125
23,87.77304007,1.028312602,1.028312602,1.031033005,4.682935484,0.956221903,2.95707883,3.679303159,47.34761075,1.794109566,3.4364545210000004,64.97378768,10.19122259,12.02306246,0.479434598,0.242848638,0.458099105,31.0,8.530483219
24,87.88786040000002,0.7795010109999999,0.7795010109999999,1.099123399,7.226253967999999,0.25084288600000004,2.172623061,4.057031019,76.23722142,6.483293647999999,3.393257932,63.35867855,12.45247212,11.91049392,3.388438103,0.6637730860000001,0.793284726,63.0,6.483293647999999
25,82.86747644,1.42485515,1.42485515,1.90177762,6.021361111,0.365574869,2.624058965,4.914571726,72.71288791,8.092906114,4.410962008,55.88740868,17.12640645,16.80959916,0.072888651,0.503609718,0.099105541,36.0,8.092906114
26,83.40116082,0.356089253,0.356089253,0.470286973,5.173432432,0.233586245,2.138611843,2.880895477,51.36638857,2.348993289,2.535369279,83.63784003,15.14028418,15.26092249,0.790943333,0.34552619799999995,1.304102067,37.0,2.348993289
27,82.28745450000002,0.812098953,0.812098953,1.043967205,4.952861111,0.552227288,2.784659305,4.242134197,78.98913647,2.625540205,3.58930938,72.73259216,8.177595333,9.730066236,0.033650584,0.6528248170000001,0.042021809000000014,36.0,8.460073994
28,85.78991615,0.62899346,0.62899346,0.84536721,3.265071429,1.020856385,3.260073102,4.087247481,85.6542814,4.584001834,3.372804545,77.00193136,12.179775,13.80380465,0.08719376699999999,0.714442936,0.100764947,98.0,4.584001834
30,73.45980683,0.580610175,0.580610175,0.583190665,4.103210526,0.327722188,2.970143606,4.16693748,58.52669925,4.855065506,3.504458442,83.04473304,11.53283902,11.91108375,0.692654019,0.662479038,0.241858858,19.0,4.855065506
31,85.59139958,0.96464771,0.96464771,1.285778808,4.743066667,0.382597596,2.412664624,4.481541224,75.75448474,7.249142742,3.580393398,64.43571028,8.894918905,8.437779857,0.711012767,0.901147825,0.910546774,105.0,11.0973937
32,85.54496774,0.518299297,0.519458227,0.5756019520000001,5.912415094,0.232429871,2.852899609,4.124819665,76.86543825,4.9783549780000005,3.517228942,79.84167894,9.882252222,10.34248368,0.499747892,0.6075907220000001,0.646239554,53.0,4.9783549780000005
34,78.4929175,1.6281222640000002,1.652206913,1.6281222640000002,5.644652174,0.521834059,2.249506204,5.301239703,77.24356259,8.555135884,4.41914109,48.54166667,8.51485928,7.913608109,1.733075554,0.8820986129999999,2.170895236,23.0,19.94231675
35,85.09411383,1.04393062,1.04393062,1.304428718,4.566089286,0.6907851340000001,3.198466969,4.7854813080000005,83.69873407,7.361092922,4.325499707,67.05426357,11.10120924,12.90178763,0.09483733,0.459981601,0.11191464,112.0,8.308224325
36,73.73762176,1.162846726,1.162846726,1.4256953369999998,7.447225063999999,0.8851238440000001,2.601880024,4.272991662,69.33738343,6.317406293,3.683635401,60.50070247,8.907844699999998,14.07929282,0.118171687,0.589356261,0.0755077,391.0,8.19805561
37,88.31815611,0.548653907,0.548653907,0.6866658179999999,5.816580645,0.441751239,2.832072282,4.519308284,74.31730204,5.790699063,3.751947194,70.99411849,9.694097013,9.310147853,1.784109942,0.76736109,1.134952483,62.0,5.790699063
38,83.46769865,1.277189557,1.279091888,1.591324372,4.988863777,0.642662261,2.469775475,4.251040239,76.63632251,9.841097517,3.813921604,59.06531872,9.131071514,9.244118324,0.400334367,0.437118636,0.493885325,323.0,13.98334728
