,Tot Dom Deposits to Tot Assets,Return On Assets,Assets per Emp,Yield on Earning Assets,Net Loans Lease to Tot Assets,RE to Ave Equity,Efficiency Ratio,Core Capital Ratio,Noncurr Assets Other RE,Cost of Funding Earnings Assets,Number Employees,Return on Equity
0,83.78064741,1.029656276,7.163125,4.1471037389999985,72.98345112,7.2697633810000015,63.30965909,13.23228558,1.7403949630000002,0.276009347,48.0,7.2697633810000015
1,78.51754674,0.421803704,5.589833333,4.588861641,85.2887683,4.134866197,84.67561521,10.38130138,3.227088862,0.990295003,18.0,4.134866197
5,87.74650381,0.418283606,6.355125,3.809204503,66.41844181,4.192960689,84.07499435,10.24066758,0.889046242,0.201163136,40.0,4.192960689
6,88.99659782,1.363659023,4.948537313,5.052531651000001,68.99400396,1.950040324,63.71507735,9.843739372,0.633083197,0.106564486,67.0,13.00225057
7,78.46174868,0.270732467,3.903133333,3.03946475,43.42152459,3.180418048,88.0787037,8.733587319,0.362102243,0.228479127,15.0,3.180418048
8,90.68975133,0.923171464,7.007356322000001,3.910675883,76.8760252,10.33788993,67.49957214,9.346423809,0.032478184,0.116916384,87.0,10.33788993
9,91.89476919,0.924214983,8.923548387,4.113325805,71.98604634,12.76192965,63.34871457,7.541534026,0.44698695,0.67939073,62.0,12.76192965
10,85.46458576,0.456670318,3.738941176,3.933828683,71.85425254,4.866820125,84.91295938,10.24473534,0.844844404,0.570168994,17.0,4.866820125
11,77.885584,0.887152058,6.434314136,4.540404799,73.29037539,5.58442944,70.54577535,11.25224939,0.8374601490000001,0.552944518,191.0,7.590190669
16,85.93461733,0.382540996,2.502911765,4.053847025,73.01260884,1.73052668,91.13865932,8.831082107,1.168638879,0.716716957,68.0,4.042106114
17,78.10339008,1.691602116,3.368196429,5.280380394,82.74405018,12.98200712,65.67670768,12.23078527,0.05540269,0.648837349,336.0,13.72053223
18,80.87203187,1.411643829,5.36274618,4.41691716,75.11183153,5.898234917000001,58.96806528,10.66253443,0.582430985,0.607661138,1178.0,12.07911937
19,83.3010777,0.997076654,4.1336451610000005,4.485369555,73.2946786,9.952203123,68.25598259999998,9.534042644,1.234168078,0.32813573100000004,62.0,10.8854873
21,87.62726314,1.120258279,5.792320225,3.791254639,48.89494323,8.622042097000001,60.90485854,9.476279752,0.301251269,0.909803808,178.0,12.56591276
22,87.40030949,0.623635619,5.143469388,4.218762321,79.98135143,7.448356125,73.94799054,8.541870884,1.6426615880000002,0.893694199,49.0,7.448356125
23,87.77304007,1.028312602,4.682935484,3.679303159,47.34761075,1.794109566,64.97378768,10.19122259,0.479434598,0.242848638,31.0,8.530483219
24,87.88786040000002,0.7795010109999999,7.226253967999999,4.057031019,76.23722142,6.483293647999999,63.35867855,12.45247212,3.388438103,0.6637730860000001,63.0,6.483293647999999
25,82.86747644,1.42485515,6.021361111,4.914571726,72.71288791,8.092906114,55.88740868,17.12640645,0.072888651,0.503609718,36.0,8.092906114
26,83.40116082,0.356089253,5.173432432,2.880895477,51.36638857,2.348993289,83.63784003,15.14028418,0.790943333,0.34552619799999995,37.0,2.348993289
27,82.28745450000002,0.812098953,4.952861111,4.242134197,78.98913647,2.625540205,72.73259216,8.177595333,0.033650584,0.6528248170000001,36.0,8.460073994
28,85.78991615,0.62899346,3.265071429,4.087247481,85.6542814,4.584001834,77.00193136,12.179775,0.08719376699999999,0.714442936,98.0,4.584001834
30,73.45980683,0.580610175,4.103210526,4.16693748,58.52669925,4.855065506,83.04473304,11.53283902,0.692654019,0.662479038,19.0,4.855065506
31,85.59139958,0.96464771,4.743066667,4.481541224,75.75448474,7.249142742,64.43571028,8.894918905,0.711012767,0.901147825,105.0,11.0973937
32,85.54496774,0.518299297,5.912415094,4.124819665,76.86543825,4.9783549780000005,79.84167894,9.882252222,0.499747892,0.6075907220000001,53.0,4.9783549780000005
34,78.4929175,1.6281222640000002,5.644652174,5.301239703,77.24356259,8.555135884,48.54166667,8.51485928,1.733075554,0.8820986129999999,23.0,19.94231675
35,85.09411383,1.04393062,4.566089286,4.7854813080000005,83.69873407,7.361092922,67.05426357,11.10120924,0.09483733,0.459981601,112.0,8.308224325
36,73.73762176,1.162846726,7.447225063999999,4.272991662,69.33738343,6.317406293,60.50070247,8.907844699999998,0.118171687,0.589356261,391.0,8.19805561
37,88.31815611,0.548653907,5.816580645,4.519308284,74.31730204,5.790699063,70.99411849,9.694097013,1.784109942,0.76736109,62.0,5.790699063
38,83.46769865,1.277189557,4.988863777,4.251040239,76.63632251,9.841097517,59.06531872,9.131071514,0.400334367,0.437118636,323.0,13.98334728
39,81.75160453,1.325576474,4.218770492,5.403862843,89.36110409999998,10.68614849,64.73582409,11.54097945,0.292344259,0.7090054020000001,183.0,11.88710921
40,81.02835813,0.403824716,5.326805825,4.0284984260000005,83.63907768,4.03316881,83.88620387,8.871769806,0.369444885,0.733525639,103.0,4.03316881
41,64.33781166,0.729826368,10.19725,3.849011882,58.56971242,-1.675977654,54.47193149,9.466111557,0.8721714190000001,1.2726047390000002,16.0,8.379888268
43,86.04228654,0.591024258,4.2833404260000005,3.730887675,60.78212471,6.964871139,80.1867426,7.763241739,1.157006115,0.378017109,188.0,7.8363115589999985
45,89.00360127,1.895681278,4.655766667,4.400680816,67.04159,10.88206797,42.61011419,10.7555056,0.5806419279999999,0.442411986,30.0,18.38224014
48,80.68996014,2.0545552330000003,8.001948718,5.750728326,81.40356836,19.19463087,49.70165446,10.91317146,0.332931722,0.7422740179999999,39.0,19.19463087
49,86.16973975,1.259500673,5.331037037,3.847331894,67.43875835,8.115089648,56.32698768,12.31398784,0.06808487,0.389962573,27.0,10.41073028
50,78.59701237,0.971254982,3.107,5.70006487,89.79590329999998,9.750153465,77.82209595,10.13123987,0.8229419809999999,1.229757183,218.0,9.750153465
51,72.17319215,0.746934344,9.857896552,4.291185334,78.28137079,6.954219537999999,70.25607354,9.631883372,0.6884031359999999,0.825590156,29.0,6.954219537999999
53,88.63061479999998,1.335844071,5.447221311,4.635842617,70.93223948,13.673352599999998,65.40268072,9.595692778,0.251218474,0.702411357,244.0,13.673352599999998
55,90.69888734,2.004308609,7.066742857,3.927688591,52.11978847,8.838604651,45.24886878,9.484390541,0.014959407,0.15491646,35.0,22.02907568
56,84.12549327,0.935561376,9.189092308,3.863781682,70.52023218,4.818509403999999,58.97116582,15.4415939,0.287966837,0.414137511,65.0,6.13684303
57,86.47497725,1.316223601,5.0611842110000005,4.823928692,74.11204992,6.4084447010000005,60.38374718,12.96627425,0.565709086,0.248360685,38.0,10.66674282
58,86.62533904,1.354699499,5.481983607,4.3458437210000005,71.94894752,7.837446242,52.76662844,12.04725267,2.096285597,0.334495131,61.0,11.41808345
60,83.72350945,0.456706059,5.756769231,3.2046709210000004,52.04775649,2.632472641,86.92733017,10.18236662,1.531307624,0.119082315,26.0,4.814079802
61,83.34845604,1.57130335,3.634982456,5.559917725,80.63409172,1.413684044,58.30872219,9.614473158,1.326534552,0.98476333,114.0,14.97114578
62,78.22460822,1.092852289,7.786740157,5.050073595,78.71693181,10.03868745,64.53124466,9.842707984,0.466706306,0.875935659,381.0,10.03868745
63,83.34701386,1.32194763,4.764154472,4.632676567,82.00450178,-4.6483796360000005,65.99214739,10.9035863,0.860764073,0.42521125,123.0,12.0820733
64,83.12925536,1.350513854,4.644875,3.86053014,56.9586103,5.697647865,66.01844091,12.13900514,0.240184074,0.192375612,64.0,11.54944051
65,88.97587183,1.309196145,3.365530612,4.49125791,73.79980717,-1.5150889930000002,66.20689655,9.98510409,1.1278811000000002,0.6688566420000001,49.0,13.37712721
66,87.59942005,1.113206673,4.598095238,4.81491424,80.86992543,5.186863826000001,60.77026422,11.95958257,0.385252693,0.36937519,21.0,9.597462318
67,88.29730090000002,1.203254219,3.930174603,3.740641502,55.13574932,8.399381582,70.74413245,9.626723,0.09221826,0.424616506,189.0,13.44021216
68,84.01255586,0.952575424,3.69757377,4.818285095,82.77958076,2.008601886,67.7480916,14.08253132,0.39059729,0.717062545,61.0,6.72134094
69,92.28122632,0.588100033,4.57771875,4.352866549,67.07967260000001,7.610459874,85.1303735,8.003194432999999,1.344829234,0.421433311,32.0,7.610459874
70,83.54183122,0.5841053,5.204777778,4.3424627760000005,75.13680450000003,7.183739691,76.43653516,8.040313962,0.609838539,0.8951883509999999,54.0,7.183739691
71,89.66581109,1.3066907559999998,3.396282609,4.78295884,81.45798795,6.736240267,73.06388527,10.06805914,0.256034411,0.637915192,46.0,13.25435466
75,82.30694552,0.352595028,6.625272189,4.463940482,86.37581933,3.196392988,81.74263409999998,10.51965227,1.542238747,0.911240721,169.0,3.424198279
76,82.87981381,1.310879496,3.825516129,6.2102409000000005,89.72687641,15.73756846,67.16012085,9.45145417,1.142582489,1.073014342,31.0,15.73756846
77,88.4339423,1.547679517,5.261940828,4.446876858,65.32861859,11.94068206,62.07382809999999,8.859160522,0.263193998,0.084657656,676.0,17.14291087
78,84.05246164,1.635253785,4.908100372,3.186267657,59.17128122,13.69952949,38.67617360000001,8.13997059,0.01984429,0.199488062,269.0,13.69952949
79,81.98584101,1.63331737,16.09452941,3.563270235,33.6131751,4.715523367,52.49634427,17.10998229,0.131210093,0.30700286600000004,17.0,9.92097124
80,88.72206311,1.428317902,3.0172452830000003,5.181268396,67.08043073,1.019175793,71.8156554,11.84237596,2.025463687,0.376308198,53.0,13.21531278
81,78.20610325,1.231817617,7.332016949,5.499859144,74.94249738,-4.978524936,63.46228616,13.33353636,0.06703822799999999,0.395948506,59.0,8.602281609
82,79.35259665,2.145308393,3.708833333,5.369862719,64.2834674,11.04837986,53.66146459,13.63377666,1.297203373,0.68228844,18.0,16.41343674
83,85.13996115,0.7561924170000001,4.995704545,4.521415006000001,71.01418946,5.554565922999999,67.90934124,13.77267881,0.247940276,0.680392998,44.0,5.554565922999999
84,82.73307908,1.5059666619999998,8.6704,4.55620133,80.01809477,11.60099912,36.34963419,13.71878957,2.504305837,0.582399541,45.0,11.60099912
85,86.00025554,0.900121345,11.81002558,3.768605446,67.26226363,10.53455205,71.14467505,8.592716238,0.447298667,0.340040496,391.0,10.53455205
86,88.86825559,0.570999447,4.91198895,3.340526498,47.65462787,4.426566619,81.26212337,10.56922206,1.832139202,0.068004274,181.0,6.5344554860000015
87,84.51441009999998,1.986216685,6.2475052789999985,4.341762885,76.97774267,8.391235984,50.40016871,13.26735844,0.689288708,0.619365096,663.0,15.51642038
88,82.93886815,0.7993975040000001,7.375981481,3.873552142,64.35151129,6.624407036,63.49534643,12.27516862,0.163694474,0.841654047,54.0,6.624407036
89,83.29783155,1.877001178,8.855479087,4.160123841,74.24107693,7.017517568,50.02794358,15.52949882,3.064717725,0.646253325,263.0,12.57981292
92,74.72964644,1.0471514709999998,10.7082,3.979853601,74.24170262,4.745083997,52.5,9.784272088,0.16747290199999998,0.934921005,60.0,10.37844249
93,88.26911476,1.614109321,5.754528571,4.624783378,67.03515492,-3.876237085,59.98787144,10.60410578,1.004178076,0.5267174179999999,70.0,15.57576875
94,83.13465082,1.3888579330000002,5.537097015,4.4908517230000005,76.34718877,4.996832612,63.2780083,10.39577967,0.405676233,0.566938349,134.0,12.54872069
95,87.04866094,1.507875891,3.768265306,4.134958735,63.72823526,10.30394716,62.96110414,11.37417766,0.431639091,0.239184516,49.0,13.82213305
96,88.20618976,0.34526794,3.556319149,4.75253265,67.15286544,3.714020427,89.79757085,8.86221404,0.85134642,0.503478579,47.0,3.714020427
97,84.74214143,1.055779958,4.41715,4.907714209,83.52416151,9.06163142,65.47722657,9.343341052000001,0.202336348,0.94985914,80.0,11.54025413
98,90.62357408,1.360332526,4.64612,4.974469073,80.7228397,0.8035892309999999,64.80897991,8.932982986,1.030967775,0.922537901,50.0,15.36864405
99,80.94962983,1.23871283,4.663805556,4.490885717,82.57503112,6.971806646,59.07729179,11.22820656,0.545572583,0.568282955,36.0,9.934330716
100,85.08663483,1.154751391,5.168878049,4.360230336,47.75108058,8.509076702,58.31348261,11.42375698,0.197712387,0.667093215,41.0,10.4159913
101,88.50221485,0.920387182,3.366701923,4.176139013,72.30227025,8.792867324,82.30994152,10.97943855,0.913642374,0.410218589,104.0,8.792867324
102,89.3409303,1.554979263,4.367098413,3.847944907,62.40851504,4.075818001,59.2441809,8.645018712999999,1.7045206730000002,0.230143928,315.0,18.05682161
103,89.61679198,1.127327137,3.488966667,3.027260039,35.96384794,10.78855819,83.7334934,11.04565397,0.508268924,0.283545017,30.0,10.78855819
104,89.6067723,0.456800611,3.2118108110000003,4.026038114,72.43703559999999,3.997787117,85.48883757,10.5113783,0.356791235,0.191126205,37.0,4.495436966000001
105,89.94415713,1.028948324,5.614621951,4.31844183,61.96006073,10.79136644,64.2538669,9.108603507,0.34003114700000003,0.466801316,164.0,12.00958036
107,82.83950142,0.983022716,3.860689189,5.016040116,85.66528172,9.517080581,65.87412587,9.675802199,0.093457617,1.134487806,74.0,9.517080581
108,80.54532489,0.828300525,3.091568182,5.821315007000001,81.35140301,4.598514326,79.06670182,9.421733324,2.009497975,1.029849215,88.0,8.788271822999999
109,87.242834,0.928363609,3.523357143,4.033128228,77.89685531,9.895404865,71.34655973,9.628329483,3.422613837,0.343253189,154.0,9.895404865
110,86.85583237,1.0417119,4.888522222,4.155446396,74.28443497,8.056971305,70.66957787,10.24914619,0.134100967,0.5084166760000001,90.0,10.60764737
111,78.93245405,1.78782496,6.672116279,4.729779088,90.45384993,3.955570611,52.70815074,12.04481198,0.340187033,0.960342978,43.0,15.05330554
113,92.10694741,0.953625195,5.300577358,3.928321055,58.31739227,2.7478267000000005,77.30538724,8.195222549,0.070693616,0.06103705900000001,265.0,12.11126542
114,89.44495788,0.633899355,10.98506522,3.52723142,53.33842589,8.020460577,70.46313097,8.657038774,0.104638115,0.152444335,184.0,8.020460577
